image,bry_cover_percent,edge_band_width_px,detector_mode,detector_note
1.1,14.707240616865851,35,ml,weights=bry_unet.pt
1.2,9.826845025096665,35,ml,weights=bry_unet.pt
1.3,4.63493380834784,35,ml,weights=bry_unet.pt
1.4,10.062412431537384,35,ml,weights=bry_unet.pt
1.5,38.11503736662491,35,ml,weights=bry_unet.pt
1.6,26.546348305136174,35,ml,weights=bry_unet.pt
1.7,1.0032755064903554,35,ml,weights=bry_unet.pt
11.1,0.0,35,ml,weights=bry_unet.pt
11.3,5.587515642802443,35,ml,weights=bry_unet.pt
11.4,4.526619846990098,35,ml,weights=bry_unet.pt
11.5,7.717614683754201,35,ml,weights=bry_unet.pt
11.6,0.0,35,ml,weights=bry_unet.pt
11.7,61.14386834953975,35,ml,weights=bry_unet.pt
13.2,0.0,35,ml,weights=bry_unet.pt
13.3,0.0,35,ml,weights=bry_unet.pt
13.4,0.0,35,ml,weights=bry_unet.pt
3.1,45.769779623505684,35,ml,weights=bry_unet.pt
3.2,0.0,35,ml,weights=bry_unet.pt
3.3,33.698191933240615,35,ml,weights=bry_unet.pt
3.4,13.240796104894509,35,ml,weights=bry_unet.pt
3.5,32.24688649416016,35,ml,weights=bry_unet.pt
3.6,20.36252683655372,35,ml,weights=bry_unet.pt
3.7,20.181796240558807,35,ml,weights=bry_unet.pt
5.1,27.35538813450852,35,ml,weights=bry_unet.pt
5.2,27.153457289570003,35,ml,weights=bry_unet.pt
5.3,32.374905361690416,35,ml,weights=bry_unet.pt
5.4,48.75396232250084,35,ml,weights=bry_unet.pt
5.5,16.54800871148923,35,ml,weights=bry_unet.pt
5.6,35.63518588197104,35,ml,weights=bry_unet.pt
5.7,12.552855912605107,35,ml,weights=bry_unet.pt
7.1,1.0353948421675425,35,ml,weights=bry_unet.pt
7.2,0.0,35,ml,weights=bry_unet.pt
7.3,12.287144512208451,35,ml,weights=bry_unet.pt
7.4,3.302316501821968,35,ml,weights=bry_unet.pt
7.5,0.0,35,ml,weights=bry_unet.pt
7.6,0.0,35,ml,weights=bry_unet.pt
7.7,2.372613073788435,35,ml,weights=bry_unet.pt
9.1,0.0,35,ml,weights=bry_unet.pt
9.2,0.0,35,ml,weights=bry_unet.pt
9.3,0.0,35,ml,weights=bry_unet.pt
9.4,18.600351825911325,35,ml,weights=bry_unet.pt
9.5,34.11736064944429,35,ml,weights=bry_unet.pt
9.6,12.67007454272798,35,ml,weights=bry_unet.pt
9.7,0.0,35,ml,weights=bry_unet.pt
no3.1,60.066033364226136,35,ml,weights=bry_unet.pt
